id,Expected
0_15_0,26.325048
0_15_1,22.432653
0_15_2,26.260183
0_15_3,67.623276
0_15_4,72.41105
0_15_5,71.857605
0_15_6,33.182785
0_15_7,33.999058
0_15_8,32.85335
0_15_9,29.980354
0_15_10,26.74664
0_15_11,26.992119
0_15_12,37.263393
0_15_13,34.44024
0_15_14,32.13527
0_15_15,37.21274
0_15_16,37.366753
0_15_17,41.185127
0_15_18,44.59518
0_15_19,42.558804
0_15_20,40.296425
0_15_21,64.89831
0_15_22,67.9394
0_15_23,66.54274
0_15_24,57.95833
0_15_25,61.28746
0_15_26,60.538036
0_15_27,23.675676
0_15_28,17.937557
0_15_29,15.917326
0_15_30,49.073105
0_15_31,51.265057
0_15_32,58.071583
0_15_33,66.99835
0_15_34,69.4124
0_15_35,0.0
0_15_36,63.12033
0_15_37,63.047405
0_15_38,65.67392
0_15_39,58.823944
0_15_40,61.190975
0_15_41,64.575356
0_15_42,19.31753
0_15_43,16.331272
0_15_44,18.100681
0_15_45,61.65121
0_15_46,65.361
0_15_47,66.391045
0_15_48,56.163616
0_15_49,54.87332
0_15_50,54.61264
0_15_51,62.66646
0_15_52,61.53464
0_15_53,60.335857
0_15_54,32.13999
0_15_55,23.867895
0_15_56,22.62038
0_15_57,63.714035
0_15_58,63.78846
0_15_59,63.534985
0_15_60,61.63898
0_15_61,62.591957
0_15_62,60.216507
0_15_63,34.590694
0_15_64,28.25699
0_15_65,27.199873
0_15_66,63.961826
0_15_67,63.90658
0_15_68,63.650257
0_15_69,41.968517
0_15_70,40.746197
0_15_71,39.346973
0_15_72,37.841198
0_15_73,29.283457
0_15_74,25.280813
0_15_75,53.777336
0_15_76,50.164158
0_15_77,49.151882
0_15_78,64.96231
0_15_79,63.101357
0_15_80,62.929234
0_15_81,65.509674
0_15_82,63.7053
0_15_83,64.21202
0_15_84,32.36315
0_15_85,27.191685
0_15_86,26.177118
0_15_87,28.856464
0_15_88,34.899467
0_15_89,37.385506
0_15_90,30.1196
0_15_91,40.828342
0_15_92,38.21884
0_15_93,55.406143
0_15_94,55.943993
0_15_95,51.726017
0_15_96,56.396736
0_15_97,56.666306
0_15_98,55.816692
0_15_99,63.97581
0_15_100,62.433937
0_15_101,61.66764
0_15_102,31.969717
0_15_103,32.483093
0_15_104,29.849325
0_15_105,63.931873
0_15_106,63.996918
0_15_107,62.832325
0_15_108,24.868277
0_15_109,22.437561
0_15_110,29.581884
0_15_111,48.442303
0_15_112,43.290146
0_15_113,42.743935
0_15_114,65.7944
0_15_115,65.94565
0_15_116,64.388
0_15_117,22.83844
0_15_118,18.38838
0_15_119,17.864538
0_15_120,59.43924
0_15_121,54.71155
0_15_122,50.086346
0_15_123,47.371998
0_15_124,42.886982
0_15_125,39.69871
0_15_126,62.454716
0_15_127,63.0856
0_15_128,62.34067
0_15_129,64.34024
0_15_130,61.893856
0_15_131,63.46221
0_15_132,57.47172
0_15_133,58.57997
0_15_134,57.921127
0_15_135,59.783848
0_15_136,52.315144
0_15_137,0.0
0_15_138,61.772312
0_15_139,63.254894
0_15_140,61.010826
0_15_141,67.51542
0_15_142,65.925514
0_15_143,64.37866
0_15_144,65.589005
0_15_145,63.44511
0_15_146,62.14642
0_15_147,50.631832
0_15_148,52.101482
0_15_149,59.957756
0_15_150,62.63843
0_15_151,60.957783
0_15_152,59.70676
0_15_153,63.511143
0_15_154,63.450623
0_15_155,63.02114
0_15_156,56.30554
0_15_157,52.867775
0_15_158,49.612316
0_15_159,65.1684
0_15_160,62.034943
0_15_161,60.25453
0_15_162,54.848335
0_15_163,46.44615
0_15_164,45.588245
0_15_165,66.26158
0_15_166,64.284805
0_15_167,63.1962
0_15_168,62.7751
0_15_169,61.12789
0_15_170,59.568386
0_15_171,62.89875
0_15_172,61.88012
0_15_173,62.34007
0_15_174,54.77013
0_15_175,46.686253
0_15_176,54.65028
0_15_177,0.0
0_15_178,63.34146
0_15_179,60.289883
0_15_180,67.577515
0_15_181,62.472336
0_15_182,59.900326
0_15_183,64.78359
0_15_184,62.88614
0_15_185,61.243
0_15_186,48.11745
0_15_187,49.438816
0_15_188,50.168674
0_15_189,52.8406
0_15_190,41.883007
0_15_191,39.395252
0_15_192,65.826645
0_15_193,65.654495
0_15_194,63.253197
0_15_195,22.089785
