Id,Expected
0_15_0,52.07406
0_15_1,68.17864
0_15_2,34.14244
0_15_3,35.91255
0_15_4,38.174477
0_15_5,35.974144
0_15_6,25.718693
0_15_7,64.45276
0_15_8,60.51913
0_15_9,23.15527
0_15_10,40.710693
0_15_11,68.81136
0_15_12,63.748344
0_15_13,60.65608
0_15_14,24.157497
0_15_15,60.33065
0_15_16,44.822773
0_15_17,58.654747
0_15_18,62.92736
0_15_19,64.45274
0_15_20,63.53531
0_15_21,64.562584
0_15_22,65.452896
0_15_23,41.511147
0_15_24,59.085003
0_15_25,66.86623
0_15_26,64.93594
0_15_27,64.160065
0_15_28,33.53249
0_15_29,27.012032
0_15_30,22.83382
0_15_31,52.839703
0_15_32,56.086555
0_15_33,62.389282
0_15_34,30.946316
0_15_35,64.831184
0_15_36,23.515598
0_15_37,52.58262
0_15_38,63.905067
0_15_39,31.34692
0_15_40,30.856148
0_15_41,63.197414
0_15_42,64.65526
0_15_43,64.24686
0_15_44,60.5219
0_15_45,30.446112
0_15_46,61.67612
0_15_47,66.54948
0_15_48,62.61172
0_15_49,65.612656
0_15_50,63.97488
0_15_51,59.760944
0_15_52,64.97593
0_15_53,64.76165
0_15_54,64.68417
0_15_55,66.632996
0_15_56,61.887638
0_15_57,21.438942
0_15_58,62.03256
0_15_59,66.00863
0_15_60,65.786514
0_15_61,64.46799
0_15_62,50.199272
0_15_63,57.187603
0_15_64,64.64957
0_15_65,23.258423
0_15_66,55.24341
0_15_67,27.767687
0_15_68,40.62303
0_15_69,16.487144
0_15_70,64.052826
0_15_71,61.245056
0_15_72,16.643333
0_15_73,62.257042
0_15_74,64.88871
0_15_75,28.490812
0_15_76,59.579998
0_15_77,66.12745
0_15_78,43.583633
0_15_79,64.15116
0_15_80,59.134617
0_15_81,61.32941
0_15_82,23.597775
0_15_83,27.762486
0_15_84,63.901382
0_15_85,63.242306
0_15_86,66.52004
0_15_87,56.936573
0_15_88,36.0782
0_15_89,63.78754
0_15_90,30.116747
0_15_91,34.988235
0_15_92,62.073315
0_15_93,60.763695
0_15_94,69.65063
0_15_95,64.65345
0_15_96,66.05262
0_15_97,41.47211
0_15_98,64.4177
0_15_99,64.607994
0_15_100,51.320843
0_15_101,65.06468
0_15_102,63.223698
0_15_103,45.592487
0_15_104,64.2094
0_15_105,62.856613
0_15_106,25.752525
0_15_107,57.134586
0_15_108,51.76506
0_15_109,63.02957
0_15_110,65.12431
0_15_111,62.47483
0_15_112,66.92638
0_15_113,65.43165
0_15_114,56.505474
0_15_115,64.69886
0_15_116,62.28665
